"","ID","Date","Block","Primary.Type","Description","X.Coordinate","Y.Coordinate","Year","Latitude","Longitude","Location"
"144150",9179584,"06/18/2013 02:50:00 PM","080XX S INGLESIDE AVE","OFFENSE INVOLVING CHILDREN","CHILD ABDUCTION",1183998,1851944,2013,41.7489114208282,-87.6013326635196,"(41.74891142082816, -87.60133266351964)"
"144242",9179485,"06/18/2013 12:44:00 PM","095XX S PRINCETON AVE","OFFENSE INVOLVING CHILDREN","ENDANGERING LIFE/HEALTH CHILD",1175999,1841704,2013,41.7209945449691,-87.6309500225781,"(41.72099454496914, -87.63095002257806)"
"144438",9179563,"06/18/2013 08:00:00 AM","020XX W 62ND ST","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1163647,1863565,2013,41.7812519731831,-87.6755807240171,"(41.781251973183124, -87.67558072401705)"
"144441",9178851,"06/18/2013 08:00:00 AM","048XX W WOLFRAM ST","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1143327,1918545,2013,41.9325268414949,-87.7487068203219,"(41.932526841494884, -87.7487068203219)"
"144683",9188958,"06/17/2013 10:00:00 PM","073XX S UNION AVE","OFFENSE INVOLVING CHILDREN","CHILD ABUSE",1172865,1856117,2013,41.7606153202414,-87.6420050643713,"(41.76061532024144, -87.64200506437128)"
"145014",9178355,"06/17/2013 04:00:00 PM","079XX S HALSTED ST","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1172300,1852411,2013,41.7504580285291,-87.6441846098668,"(41.75045802852908, -87.64418460986681)"
"145268",9179117,"06/17/2013 11:00:00 AM","023XX W JACKSON BLVD","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1160846,1898602,2013,41.8774558418172,-87.6848802516913,"(41.87745584181721, -87.68488025169125)"
"145442",9178252,"06/17/2013 06:00:00 AM","031XX W WARREN BLVD","OFFENSE INVOLVING CHILDREN","ENDANGERING LIFE/HEALTH CHILD",1155293,1900221,2013,41.8820118583527,-87.7052259268642,"(41.88201185835272, -87.70522592686424)"
"145629",9177049,"06/16/2013 11:50:00 PM","004XX E 81ST ST","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1180541,1851433,2013,41.7475891862197,-87.6140159407774,"(41.74758918621973, -87.61401594077739)"
"145878",9177028,"06/16/2013 07:00:00 PM","085XX S SAGINAW AVE","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1195354,1848714,2013,41.7397753969128,-87.5598271786922,"(41.73977539691276, -87.55982717869217)"
"145891",9176861,"06/16/2013 07:00:00 PM","021XX N RICHMOND ST","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1156556,1914036,2013,41.9198959754657,-87.7002138080354,"(41.919895975465735, -87.70021380803543)"
"145973",9179332,"06/16/2013 05:00:00 PM","079XX S ADA ST","OFFENSE INVOLVING CHILDREN","ENDANGERING LIFE/HEALTH CHILD",1168748,1852129,2013,41.7497615158253,-87.657208898606,"(41.74976151582535, -87.65720889860597)"
"145986",9176712,"06/16/2013 04:47:00 PM","075XX S STEWART AVE","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1174894,1854866,2013,41.7571374400142,-87.6346059657892,"(41.75713744001417, -87.6346059657892)"
"145990",9178364,"06/16/2013 04:30:00 PM","041XX N CUMBERLAND AVE","OFFENSE INVOLVING CHILDREN","ENDANGERING LIFE/HEALTH CHILD",1119379,1926744,2013,41.9554403594689,-87.8365404034375,"(41.95544035946892, -87.83654040343751)"
"146037",9363907,"06/16/2013 03:14:00 PM","061XX N CLAREMONT AVE","OFFENSE INVOLVING CHILDREN","CHILD PORNOGRAPHY",1159582,1940601,2013,41.9927299624796,-87.6883611811757,"(41.99272996247959, -87.68836118117571)"
"146289",9176332,"06/16/2013 09:00:00 AM","007XX N RUSH ST","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1176921,1905643,2013,41.8964282792469,-87.6256444858169,"(41.89642827924695, -87.62564448581693)"
"146292",9176462,"06/16/2013 09:00:00 AM","045XX W LAWRENCE AVE","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1144970,1931555,2013,41.9681964975742,-87.7423392307707,"(41.96819649757419, -87.74233923077074)"
"146567",9177444,"06/16/2013 12:01:00 AM","071XX S CONSTANCE AVE","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1189652,1857840,2013,41.7649566985021,-87.5804255154619,"(41.76495669850209, -87.58042551546185)"
"146582",9185776,"06/15/2013 11:45:00 PM","070XX S MAPLEWOOD AVE","OFFENSE INVOLVING CHILDREN","CRIM SEX ABUSE BY FAM MEMBER",1160553,1857809,2013,41.7655210769716,-87.6870826360222,"(41.76552107697162, -87.68708263602223)"
"146734",9175941,"06/15/2013 08:20:00 PM","061XX S NATCHEZ AVE","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1134162,1863275,2013,41.7810242160803,-87.7836879388005,"(41.781024216080304, -87.78368793880048)"
"146816",9175985,"06/15/2013 06:30:00 PM","023XX N ALBANY AVE","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1155384,1915571,2013,41.9241318009777,-87.7044785836346,"(41.92413180097772, -87.70447858363455)"
"146970",9175677,"06/15/2013 03:00:00 PM","108XX S PEORIA ST","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1172208,1832808,2013,41.6966666283617,-87.6450960425834,"(41.6966666283617, -87.64509604258342)"
"147247",9175294,"06/15/2013 08:00:00 AM","048XX W WOLFRAM ST","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1143327,1918545,2013,41.9325268414949,-87.7487068203219,"(41.932526841494884, -87.7487068203219)"
"147370",9313493,"06/15/2013 02:00:00 AM","039XX S LAKE PARK AVE","OFFENSE INVOLVING CHILDREN","SEX ASSLT OF CHILD BY FAM MBR",1183232,1879212,2013,41.8237550557534,-87.603291139112,"(41.82375505575339, -87.60329113911205)"
"147453",9240457,"06/15/2013 12:00:00 AM","044XX W JACKSON BLVD","OFFENSE INVOLVING CHILDREN","CHILD ABUSE",1147017,1898362,2013,41.8770727382719,-87.735663114641,"(41.87707273827194, -87.73566311464099)"
